title,budget,release_year,runtime,vote_average,label
The Mothman Prophecies,32000000 ,2002,119,6.1,0
Br羹no,42000000 ,2009,83,5.4,0
Licence to Kill,32000000 ,1989,133,5.9,0
Red Riding Hood,42000000 ,2011,100,5.6,0
15 Minutes,60000000 ,2001,120,5.7,0
Super Mario Bros.,48000000 ,1993,104,4,0
Lord of War,42000000 ,2005,122,7,0
Hero,31000000 ,2002,99,7.2,1
One for the Money,40000000 ,2012,91,5.3,0
The Interview,44000000 ,2014,112,6.1,0
The Warrior's Way,42000000 ,2010,100,6.3,0
Micmacs,33000000 ,2009,100,6.8,0
8 Mile,41000000 ,2002,110,6.8,0
A Knight's Tale,65000000 ,2001,132,6.6,0
The Medallion,41000000 ,2003,88,5.3,0
The Sixth Sense,40000000 ,1999,107,7.7,1
Man on a Ledge,42000000 ,2012,102,6.2,0
The Big Year,41000000 ,2011,100,5.6,0
The Karate Kid,8000000 ,1984,126,6.9,0
American Hustle,40000000 ,2013,138,6.8,0
The Proposal,40000000 ,2009,108,6.7,0
Double Jeopardy,70000000 ,1999,105,6.2,0
Back to the Future Part II,40000000 ,1989,108,7.4,1
Lucy,40000000 ,2014,89,6.3,0
Fifty Shades of Grey,40000000 ,2015,125,5.2,0
Spy Kids 3-D: Game Over,38000000 ,2003,84,4.7,0
A Time to Kill,40000000 ,1996,149,7,0
Cheaper by the Dozen,40000000 ,2003,98,6,0
Lone Survivor,40000000 ,2013,121,7.4,1
A League of Their Own,40000000 ,1992,128,6.7,0
The Conjuring 2,40000000 ,2016,134,7,0
The Social Network,40000000 ,2010,120,7.1,1
He's Just Not That Into You,40000000 ,2009,129,6.2,0
Scary Movie 4,45000000 ,2006,83,5.3,0
Scream 3,40000000 ,2000,116,5.7,0
Back to the Future Part III,40000000 ,1990,118,7.1,1
Get Hard,40000000 ,2015,100,5.9,0
Dracula,40000000 ,1992,128,7.1,1
Julie & Julia,40000000 ,2009,123,6.6,0
The Talented Mr. Ripley,40000000 ,1999,139,7,0
Dumb and Dumber To,40000000 ,2014,110,5.4,0
Eight Below,40000000 ,2006,120,6.7,0
The Intern,35000000 ,2015,121,7.1,1
Ride Along 2,40000000 ,2016,102,6.1,0
The Last of the Mohicans,40000000 ,1992,112,7.1,1
Ray,40000000 ,2004,152,7.2,1
Sin City,40000000 ,2005,124,7.2,1
Vantage Point,40000000 ,2008,90,6.2,0
"I Love You, Man",41000000 ,2009,105,6.5,0
Shallow Hal,40000000 ,2001,114,5.7,0
JFK,40000000 ,1991,189,7.5,1
Big Momma's House 2,40000000 ,2006,99,5.4,0
The Mexican,57000000 ,2001,123,5.8,0
17 Again,20000000 ,2009,102,6.1,0
The Other Woman,40000000 ,2014,109,6.2,0
The Final Destination,40000000 ,2009,82,5.4,0
Bridge of Spies,40000000 ,2015,141,7.2,1
Behind Enemy Lines,40000000 ,2001,106,6,0
Get Him to the Greek,40000000 ,2010,109,5.9,0
Shall We Dance?,50000000 ,2004,107,5.9,0
Small Soldiers,40000000 ,1998,110,6.2,0
Spawn,40000000 ,1997,96,5,0
The Count of Monte Cristo,35000000 ,2002,131,7.3,1
The Lincoln Lawyer,40000000 ,2011,119,7,0
Unknown,30000000 ,2011,113,6.5,0
The Prestige,40000000 ,2006,130,8,1
Horrible Bosses 2,42000000 ,2014,108,6.1,0
Escape from Planet Earth,40000000 ,2013,89,5.7,0
Apocalypto,40000000 ,2006,139,7.3,1
The Living Daylights,40000000 ,1987,130,6.2,0
Predators,40000000 ,2010,107,6,0
Secret Window,40000000 ,2004,96,6.4,0
The Lake House,40000000 ,2006,99,6.5,0
The Skeleton Key,43000000 ,2005,104,6.4,0
Made of Honor,40000000 ,2008,101,6,0
Jersey Boys,40000000 ,2014,134,6.8,0
The Rainmaker,40000000 ,1997,135,6.7,0
Gothika,40000000 ,2003,98,5.8,0
Amistad,36000000 ,1997,155,6.8,0
Medicine Man,40000000 ,1992,106,5.8,0
Aliens vs Predator: Requiem,40000000 ,2007,94,4.9,0
Ri瞽hie Ri瞽h,40000000 ,1994,95,5.4,0
Autumn in New York,65000000 ,2000,103,5.7,0
Music and Lyrics,40000000 ,2007,96,6.2,0
Paul,40000000 ,2011,104,6.5,0
The Guilt Trip,40000000 ,2012,95,5.4,0
Scream 4,40000000 ,2011,111,6.1,0
8MM,40000000 ,1999,123,6.1,0
The Doors,38000000 ,1991,140,6.7,0
Sex Tape,40000000 ,2014,97,5.3,0
Hanging Up,40000000 ,2000,94,5,0
Final Destination 5,47000000 ,2011,92,5.9,0
Pay It Forward,40000000 ,2000,122,7,0
Fever Pitch,30000000 ,2005,103,5.9,0
Drillbit Taylor,40000000 ,2008,102,5.5,0
The Shadow,25000000 ,1994,108,5.4,0
Extremely Loud & Incredibly Close,40000000 ,2011,129,6.9,0
Morning Glory,40000000 ,2010,102,6.1,0
Get Rich or Die Tryin',40000000 ,2005,117,6.3,0
The Art of War,40000000 ,2000,117,5.6,0
Rent,40000000 ,2005,135,6.7,0
Bless the Child,40000000 ,2000,107,4.9,0
The Out-of-Towners,75000000 ,1999,90,5,0
The Island of Dr. Moreau,40000000 ,1996,96,4.6,0
The Musketeer,40000000 ,2001,104,5.2,0
The Other Boleyn Girl,35000000 ,2008,115,6.4,0
Sweet November,40000000 ,2001,119,6.4,0
The Reaping,40000000 ,2007,99,5.4,0
Mean Streets,500000 ,1973,110,7.2,1
Renaissance Man,40000000 ,1994,128,5.9,0
Colombiana,40000000 ,2011,108,6.5,0
Quest for Camelot,40000000 ,1998,86,6.9,0
City By The Sea,40000000 ,2002,108,5.7,0
Torque,40000000 ,2004,84,4.7,0
Showgirls,45000000 ,1995,128,4.9,0
Marie Antoinette,40000000 ,2006,123,6.5,0
Kiss of Death,40000000 ,1995,101,5.7,0
Get Carter,63600000 ,2000,102,4.8,0
The Impossible,42000000 ,2012,113,7,0
Ishtar,55000000 ,1987,107,4.2,0
Fantastic Mr. Fox,40000000 ,2009,87,7.5,1
Life or Something Like It,40000000 ,2002,103,5.7,0
Memoirs of an Invisible Man,40000000 ,1992,99,5.7,0
Am矇lie,10000000 ,2001,122,7.8,1
Alfie,60000000 ,2004,103,5.6,0
Big Miracle,40000000 ,2012,107,6.6,0
The Deep End of the Ocean,38000000 ,1999,106,5.9,0
FearDotCom,40000000 ,2002,101,3.2,0
Cirque du Freak: The Vampire's Assistant,40000000 ,2009,109,5.5,0
Duplex,40000000 ,2003,89,5.9,0
Universal Soldier: The Return,45000000 ,1999,82,4.2,0
Pandorum,33000000 ,2009,108,6.5,0
Impostor,40000000 ,2001,102,6.1,0
Extreme Ops,40000000 ,2002,93,5,0
Sunshine,50000000 ,2007,107,7,0
A Thousand Words,40000000 ,2012,91,6,0
Delgo,40000000 ,2008,94,5.4,0
The Gunman,40000000 ,2015,115,5.5,0
Stormbreaker,40000000 ,2006,93,5.1,0
Disturbia,20000000 ,2007,105,6.6,0
Hackers,20000000 ,1995,107,6.2,0
The Hudsucker Proxy,30000000 ,1994,111,7.1,1
The Warlords,40000000 ,2007,126,6.3,0
Nomad: The Warrior,25000000 ,2005,112,4.3,0
Snowpiercer,39200000 ,2013,126,6.7,0
A Monster in Paris,25000000 ,2011,90,6.5,0
The Crow,15000000 ,1994,102,7.3,1
Baahubali: The Beginning,40000000 ,2015,159,7.5,1
The Time Traveler's Wife,39000000 ,2009,107,6.7,0
Frankenweenie,39000000 ,2012,87,6.6,0
Serenity,39000000 ,2005,119,7.4,1
Against the Ropes,39000000 ,2004,106,4.5,0
Superman III,39000000 ,1983,125,5.3,0
Grudge Match,40000000 ,2013,113,6,0
Red Cliff,80341000 ,2008,150,7.1,1
Sweet Home Alabama,30000000 ,2002,108,6,0
The Ugly Truth,38000000 ,2009,96,6.4,0
Spy Kids 2: The Island of Lost Dreams,38000000 ,2002,100,5.3,0
Star Trek: Generations,38000000 ,1994,118,6.4,0
Water for Elephants,38000000 ,2011,120,6.7,0
Dragon Nest: Warriors' Dawn,40000000 ,2014,88,6.8,0
The Hurricane,50000000 ,1999,146,7.2,1
Enough,38000000 ,2002,114,6.2,0
Heartbreakers,35000000 ,2001,123,5.7,0
Paul Blart: Mall Cop 2,38000000 ,2015,94,5,0
Angel Eyes,53000000 ,2001,102,5.6,0
Joe Somebody,38000000 ,2001,99,5.5,0
The Ninth Gate,38000000 ,1999,133,6.3,0
Extreme Measures,38000000 ,1996,118,5.7,0
Rock Star,57000000 ,2001,105,6,0
Precious,10000000 ,2009,110,6.9,0
White Squall,38000000 ,1996,129,6.3,0
The Thing,15000000 ,1982,109,7.8,1
Riddick,38000000 ,2013,119,6.2,0
Switchback,37000000 ,1997,118,5.8,0
City of Ember,55000000 ,2008,90,6.2,0
The Master,32000000 ,2012,137,7,0
Virgin Territory,38000000 ,2007,93,4.3,0
The Express,40000000 ,2008,130,7.1,1
The 5th Wave,38000000 ,2016,112,5.6,0
Creed,37000000 ,2015,133,7.3,1
The Town,37000000 ,2010,125,7,0
What to Expect When You're Expecting,40000000 ,2012,110,5.8,0
Burn After Reading,37000000 ,2008,96,6.5,0
Nim's Island,37000000 ,2008,96,5.6,0
Rush,38000000 ,2013,123,7.7,1
Magnolia,37000000 ,1999,188,7.5,1
Cop Out,30000000 ,2010,107,5.3,0
How to Be Single,38000000 ,2016,110,5.9,0
Dolphin Tale,37000000 ,2011,113,6.7,0
Twilight,37000000 ,2008,122,5.8,0
John Q,36000000 ,2002,116,7,0
Blue Streak,65000000 ,1999,93,6.1,0
We're the Millers,37000000 ,2013,110,6.8,0
The Inhabited Island,36500000 ,2008,115,5.3,0
Breakdown,36000000 ,1997,95,6.6,0
Never Say Never Again,36000000 ,1983,134,5.8,0
Hot Tub Time Machine,36000000 ,2010,101,6,0
Dolphin Tale 2,36000000 ,2014,107,6.7,0
Reindeer Games,42000000 ,2000,124,5.4,0
A Man Apart,36000000 ,2003,109,5.8,0
Aloha,37000000 ,2015,105,5.2,0
The Rite,37000000 ,2011,114,5.8,0
Gattaca,36000000 ,1997,106,7.5,1
Isn't She Great,36000000 ,2000,95,4.6,0
Space Chimps,37000000 ,2008,81,5.2,0
The Hangover,35000000 ,2009,100,7.2,1
Ip Man 3,36000000 ,2015,105,6.5,0
Austin Powers: The Spy Who Shagged Me,33000000 ,1999,95,6.2,0
Batman,35000000 ,1989,126,7,0
Lethal Weapon 3,35000000 ,1992,118,6.4,0
The Blind Side,29000000 ,2009,129,7.2,1
Spy Kids,35000000 ,2001,88,5.5,0
Horrible Bosses,35000000 ,2011,98,6.5,0
True Grit,38000000 ,2010,110,7.2,1
The Devil Wears Prada,35000000 ,2006,109,7,0
Star Trek: The Motion Picture,35000000 ,1979,132,6.2,0
Identity Thief,35000000 ,2013,111,5.6,0
Cape Fear,35000000 ,1991,128,7,0
Trainwreck,35000000 ,2015,125,5.9,0
Guess Who,35000000 ,2005,105,5.5,0
The English Patient,27000000 ,1996,162,7,0
L.A. Confidential,35000000 ,1997,138,7.7,1
Sky High,35000000 ,2005,100,5.8,0
In & Out,35000000 ,1997,90,6.3,0
Species,35000000 ,1995,108,5.5,0
A Nightmare on Elm Street,1800000 ,1984,91,7.2,1
The Cell,33000000 ,2000,107,6,0
Secretariat,35000000 ,2010,123,6.8,0
TMNT,34000000 ,2007,90,6,0
Radio,32000000 ,2003,109,6.8,0
Friends with Benefits,35000000 ,2011,109,6.5,0
Neighbors 2: Sorority Rising,35000000 ,2016,91,5.6,0
Saving Mr. Banks,35000000 ,2013,125,7.3,1
Malcolm X,34000000 ,1992,202,7.2,1
This Is 40,35000000 ,2012,134,5.6,0
Old Dogs,35000000 ,2009,88,5.2,0
Underworld: Rise of the Lycans,35000000 ,2009,92,6.2,0
License to Wed,35000000 ,2007,91,5.2,0
Must Love Dogs,30000000 ,2005,98,5.8,0
Donnie Brasco,35000000 ,1997,127,7.4,1
Resident Evil,33000000 ,2002,100,6.4,0
Poltergeist,10700000 ,1982,114,7,0
Max Payne,35000000 ,2008,100,5.2,0
In Time,40000000 ,2011,109,6.7,0
The Back-Up Plan,35000000 ,2010,106,5.7,0
Something Borrowed,35000000 ,2011,112,5.9,0
The Bad News Bears,35000000 ,1976,102,6.9,0
Street Fighter,35000000 ,1994,102,4.1,0
The Pianist,35000000 ,2002,150,8,1
The Nativity Story,35000000 ,2006,101,6.4,0
House of Wax,40000000 ,2005,113,5.5,0
Closer,27000000 ,2004,104,6.7,0
J. Edgar,35000000 ,2011,137,6,0
Mirrors,35000000 ,2008,110,6,0
Queen of the Damned,35000000 ,2002,101,5.4,0
Predator 2,35000000 ,1990,108,5.9,0
Untraceable,35000000 ,2008,101,5.9,0
Blast from the Past,35000000 ,1999,112,6.3,0
Flash Gordon,35000000 ,1980,111,6.1,0
Jersey Girl,35000000 ,2004,102,5.8,0
Alex Cross,45000000 ,2012,101,5.1,0
Midnight in the Garden of Good and Evil,35000000 ,1997,155,6.3,0
Heist,8900000 ,2015,93,5.6,0
Nanny McPhee and the Big Bang,35000000 ,2010,109,6,0
Hoffa,35000000 ,1992,140,6.1,0
The X Files: I Want to Believe,30000000 ,2008,104,5.5,0
Ella Enchanted,31000000 ,2004,96,5.9,0
Concussion,35000000 ,2015,123,7,0
Abduction,35000000 ,2011,106,5.6,0
Valiant,35000000 ,2005,76,5.2,0
Wonder Boys,35000000 ,2000,111,6.9,0
Superhero Movie,35000000 ,2008,85,4.9,0
Broken City,56000000 ,2013,109,5.7,0
Cursed,35000000 ,2005,97,5.1,0
Premium Rush,35000000 ,2012,91,6.2,0
Hot Pursuit,35000000 ,2015,87,5.4,0
The Four Feathers,35000000 ,2002,132,6.5,0
Parker,35000000 ,2013,118,5.7,0
Wimbledon,31000000 ,2004,98,6,0
Furry Vengeance,35000000 ,2010,92,4.6,0
Bait,30000000 ,2012,93,5.3,0
Krull,27000000 ,1983,117,5.8,0
Lions for Lambs,35000000 ,2007,92,6,0
Flight of the Intruder,35000000 ,1991,115,5.7,0
Walk Hard: The Dewey Cox Story,35000000 ,2007,96,6.6,0
American Outlaws,35000000 ,2001,94,5.7,0
Whiteout,40000000 ,2009,101,5.3,0
The Tree of Life,32000000 ,2011,139,6.5,0
Knock Off,33000000 ,1998,91,4.7,0
Sabotage,35000000 ,2014,110,5.5,0
The Order,35000000 ,2003,102,4.8,0
Punisher: War Zone,20500000 ,2008,102,5.6,0
Zoom,35000000 ,2006,83,4.9,0
The Walk,35000000 ,2015,123,6.9,0
A Good Year,35000000 ,2006,118,6.5,0
Radio Flyer,35000000 ,1992,114,6.6,0
Bound by Honor,35000000 ,1993,180,7.7,1
Smilla's Sense of Snow,35000000 ,1997,121,6.6,0
Femme Fatale,35000000 ,2002,114,6.2,0
Lion of the Desert,35000000 ,1981,173,7.4,1
The Horseman on the Roof,35000000 ,1995,135,6.7,0
Ride with the Devil,38000000 ,1999,138,6.6,0
Bandidas,35000000 ,2006,93,5.8,0
The Maze Runner,34000000 ,2014,113,7,0
Unfinished Business,35000000 ,2015,91,5,0
The Age of Innocence,34000000 ,1993,139,7,0
The Fountain,35000000 ,2006,96,6.8,0
Chill Factor,70000000 ,1999,101,5.3,0
Stolen,35000000 ,2012,96,5.1,0
The Longest Ride,34000000 ,2015,128,7.3,1
The Astronaut's Wife,75000000 ,1999,109,5.4,0
I Dreamed of Africa,34000000 ,2000,114,5.3,0
Playing for Keeps,35000000 ,2012,106,5.4,0
Mandela: Long Walk to Freedom,35000000 ,2013,141,6.5,0
Reds,32000000 ,1981,195,7.1,1
A Few Good Men,40000000 ,1992,138,7.1,1
Exit Wounds,50000000 ,2001,101,5.3,0
Big Momma's House,30000000 ,2000,98,5.6,0
Thunder and the House of Magic,34000000 ,2013,85,6.3,0
The Darkest Hour,30000000 ,2011,89,4.8,0
Step Up Revolution,33000000 ,2012,99,6.7,0
Snakes on a Plane,33000000 ,2006,105,5.1,0
The Watcher,33000000 ,2000,96,4.9,0
The Punisher,33000000 ,2004,124,6.1,0
Goal!: The Dream Begins,30000000 ,2005,118,6.6,0
Safe,30000000 ,2012,94,6.3,0
Pushing Tin,33000000 ,1999,124,5.7,0
Return of the Jedi,32350000 ,1983,135,7.9,1
Doomsday,30000000 ,2008,108,5.8,0
The Reader,32000000 ,2008,124,7.2,1
Wanderlust,35000000 ,2012,98,5.3,0
Elf,32000000 ,2003,97,6.4,0
Phenomenon,32000000 ,1996,123,6.2,0
Snow Dogs,33000000 ,2002,99,5.3,0
Nacho Libre,32000000 ,2006,92,5.6,0
Bridesmaids,32500000 ,2011,125,6.5,0
This Is the End,32000000 ,2013,107,6.3,0
Stigmata,29000000 ,1999,103,6,0
Men of Honor,32000000 ,2000,129,7,0
Takers,32000000 ,2010,107,6,0
The Big Wedding,35000000 ,2013,90,5.7,0
"Big Mommas: Like Father, Like Son",32000000 ,2011,107,5.3,0
Source Code,32000000 ,2011,93,7.1,1
Alive,32000000 ,1993,120,6.7,0
The Number 23,30000000 ,2007,101,6.3,0
The Young and Prodigious T.S. Spivet,33000000 ,2013,105,6.7,0
A History of Violence,32000000 ,2005,96,6.9,0
Transporter 2,32000000 ,2005,87,6.2,0
The Quick and the Dead,32000000 ,1995,107,6.3,0
Laws of Attraction,28000000 ,2004,90,5.6,0
Bringing Out the Dead,32000000 ,1999,121,6.6,0
Repo Men,32000000 ,2010,111,6.2,0
Dragon Wars: D-War,70000000 ,2007,90,4,0
Bogus,32000000 ,1996,110,5.4,0
The Incredible Burt Wonderstone,30000000 ,2013,100,5.3,0
Cats Don't Dance,32000000 ,1997,75,7.1,1
The Good German,32000000 ,2006,108,5.9,0
George and the Dragon,32000000 ,2004,93,5,0
Apocalypse Now,31500000 ,1979,153,8,1
Going the Distance,32000000 ,2010,102,6,0
Criminal,31500000 ,2016,113,5.7,0
Out of Africa,31000000 ,1985,161,7,0
Flight,31000000 ,2012,138,6.5,0
Moonraker,34000000 ,1979,126,5.9,0
The Grand Budapest Hotel,30000000 ,2014,99,8,1
Hearts in Atlantis,31000000 ,2001,101,6.4,0
Arachnophobia,31000000 ,1990,103,6.2,0
Frequency,31000000 ,2000,118,7,0
Vacation,31000000 ,2015,99,6.2,0
Get Shorty,30250000 ,1995,105,6.4,0
Chicago,45000000 ,2002,113,6.9,0
Big Daddy,34200000 ,1999,93,6.1,0
American Pie 2,30000000 ,2001,108,6,0
Toy Story,30000000 ,1995,81,7.7,1
Speed,30000000 ,1994,116,6.8,0
The Vow,30000000 ,2012,104,7,0
Extraordinary Measures,31000000 ,2010,105,6,0
Remember the Titans,30000000 ,2000,113,7.4,1
The Hunt for Red October,30000000 ,1990,134,7.2,1
The Butler,25000000 ,2013,132,7.2,1
DodgeBall: A True Underdog Story,20000000 ,2004,92,6.2,0
The Addams Family,30000000 ,1991,99,6.7,0
Ace Ventura: When Nature Calls,30000000 ,1995,90,6.1,0
The Princess Diaries,37000000 ,2001,115,6.5,0
The First Wives Club,26000000 ,1996,102,6.5,0
Se7en,33000000 ,1995,127,8.1,1
District 9,30000000 ,2009,112,7.3,1
The SpongeBob SquarePants Movie,30000000 ,2004,87,6.7,0
Mystic River,25000000 ,2003,138,7.6,1
Million Dollar Baby,30000000 ,2004,132,7.7,1
Analyze This,80000000 ,1999,103,6.4,0
The Notebook,29000000 ,2004,123,7.7,1
27 Dresses,30000000 ,2008,111,6.1,0
Hannah Montana: The Movie,35000000 ,2009,102,6,0
The Prince of Tides,30000000 ,1991,132,5.9,0
Legends of the Fall,30000000 ,1994,133,7.2,1
Up in the Air,25000000 ,2009,109,6.7,0
About Schmidt,30000000 ,2002,125,6.7,0
Warm Bodies,35000000 ,2013,97,6.4,0
Looper,30000000 ,2012,118,6.6,0
Babe,30000000 ,1995,89,6,0
Hope Springs,30000000 ,2012,100,5.8,0
Forgetting Sarah Marshall,30000000 ,2008,111,6.4,0
Four Brothers,45000000 ,2005,109,6.7,0
Baby Mama,30000000 ,2008,99,5.8,0
Bride Wars,30000000 ,2009,89,5.9,0
Without a Paddle,19000000 ,2004,95,5.3,0
13 Going on 30,37000000 ,2004,98,6.3,0
Midnight in Paris,30000000 ,2011,94,7.4,1
Blow,53000000 ,2001,124,7.4,1
Message in a Bottle,80000000 ,1999,131,5.8,0
Star Trek V: The Final Frontier,30000000 ,1989,107,5.6,0
Like Mike,30000000 ,2002,99,5.7,0
The Naked Gun 33?? The Final Insult,30000000 ,1994,83,6.3,0
A View to a Kill,30000000 ,1985,131,6,0
The Curse of the Were-Rabbit,30000000 ,2005,85,6.8,0
P.S. I Love You,30000000 ,2007,126,6.9,0
Racing Stripes,30000000 ,2005,102,5.1,0
Atonement,30000000 ,2007,123,7.4,1
Letters to Juliet,30000000 ,2010,105,6.6,0
Black Rain,30000000 ,1989,125,6.2,0
The Three Stooges,30000000 ,2012,92,4.9,0
Corpse Bride,40000000 ,2005,77,7.2,1
Sicario,30000000 ,2015,121,7.2,1
Southpaw,30000000 ,2015,123,7.3,1
Drag Me to Hell,30000000 ,2009,99,6.2,0
The Age of Adaline,25000000 ,2015,112,7.4,1
Step Up 3D,30000000 ,2010,107,6.6,0
Blue Crush,25000000 ,2002,104,5.6,0
Stranger Than Fiction,30000000 ,2006,113,7.1,1
30 Days of Night,30000000 ,2007,113,6.2,0
The Cabin in the Woods,30000000 ,2012,95,6.5,0
Meet the Spartans,30000000 ,2008,84,3.7,0
Midnight Run,30000000 ,1988,126,7.2,1
The Running Man,27000000 ,1987,101,6.4,0
Little Shop of Horrors,25000000 ,1986,94,6.6,0
Hanna,30000000 ,2011,111,6.5,0
Mortal Kombat: Annihilation,30000000 ,1997,95,3.8,0
Larry Crowne,30000000 ,2011,98,5.7,0
Carrie,30000000 ,2013,100,5.8,0
Take the Lead,30000000 ,2006,108,6.6,0
Gridiron Gang,30000000 ,2006,125,6.5,0
What's the Worst That Could Happen?,45000000 ,2001,94,5.1,0
Side Effects,30000000 ,2013,106,6.4,0
Winnie the Pooh,30000000 ,2011,63,6.8,0
Dumb and Dumberer: When Harry Met Lloyd,19000000 ,2003,85,4.1,0
Bulworth,30000000 ,1998,108,6.3,0
Virtuosity,30000000 ,1995,106,5.4,0
Deliver Us from Evil,30000000 ,2014,118,5.9,0
Sanctum,30000000 ,2011,108,5.8,0
Little Black Book,35000000 ,2004,111,5.2,0
The Five-Year Engagement,30000000 ,2012,124,5.7,0
Mr. 3000,30000000 ,2004,104,5,0
The Next Three Days,30000000 ,2010,133,6.9,0
Ultraviolet,30000000 ,2006,87,4.8,0
Assault on Precinct 13,30000000 ,2005,109,6,0
The Replacement Killers,30000000 ,1998,87,6,0
Fled,25000000 ,1996,98,5.2,0
Love & Other Drugs,30000000 ,2010,112,6.6,0
88 Minutes,30000000 ,2007,108,5.7,0
North Country,35000000 ,2005,126,6.8,0
The Whole Ten Yards,40000000 ,2004,98,5.5,0
Splice,26000000 ,2009,104,5.5,0
Howard the Duck,37000000 ,1986,110,5.1,0
Pride and Glory,30000000 ,2008,130,6.3,0
The Cave,30000000 ,2005,97,5.1,0
Alex & Emma,30000000 ,2003,96,5,0
Wicker Park,30000000 ,2004,114,6.7,0
Fright Night,17000000 ,2011,106,6,0
The New World,30000000 ,2005,135,6.4,0
Wing Commander,30000000 ,1999,100,4,0
Dragonball Evolution,100000000 ,2009,85,2.9,0
The Last Stand,30000000 ,2013,107,5.7,0
Godsend,25000000 ,2004,102,4.7,0
Chasing Liberty,23000000 ,2004,111,6.1,0
Hoodwinked Too! Hood VS. Evil,30000000 ,2011,86,4.8,0
An Unfinished Life,30000000 ,2005,108,6.7,0
The Imaginarium of Doctor Parnassus,30000000 ,2009,123,6.3,0
Barney's Version,30000000 ,2010,134,7.2,1
Runner Runner,30000000 ,2013,91,5.5,0
Antitrust,30000000 ,2001,108,5.8,0
Glory,18000000 ,1989,122,7.4,1
Once Upon a Time in America,30000000 ,1984,229,8.2,1
Miss Potter,30000000 ,2006,92,6.3,0
DOA: Dead or Alive,21000000 ,2006,87,5,0
The Assassination of Jesse James by the Coward Robert Ford,30000000 ,2007,160,7,0
Wild Card,30000000 ,2015,92,5.4,0
Machine Gun Preacher,30000000 ,2011,129,6.4,0
Goodbye Bafana,30000000 ,2007,140,7,0
United Passions,27000000 ,2014,110,3,0
Grace of Monaco,30000000 ,2014,103,5.8,0
Savva. Heart of the Warrior,30000000 ,2015,85,6.4,0
Ripley's Game,30000000 ,2002,110,6.6,0
Sausage Party,19000000 ,2016,83,5.6,0
Pitch Perfect 2,29000000 ,2015,115,6.8,0
Walk the Line,28000000 ,2005,136,7.3,1
Keeping the Faith,30000000 ,2000,127,5.9,0
The Borrowers,29000000 ,1997,86,5.8,0
Confessions of a Dangerous Mind,30000000 ,2002,113,6.6,0
Serving Sara,29000000 ,2002,100,5,0
The Boss,29000000 ,2016,91,5.5,0
Seed of Chucky,12000000 ,2004,87,4.9,0
The Jacket,29000000 ,2005,103,6.8,0
Aladdin,28000000 ,1992,90,7.4,1
Straight Outta Compton,28000000 ,2015,147,7.7,1
Indiana Jones and the Temple of Doom,28000000 ,1984,118,7.1,1
The Rugrats Movie,30000000 ,1998,79,5.7,0
Along Came a Spider,60000000 ,2001,104,6.1,0
Florence Foster Jenkins,29000000 ,2016,110,6.6,0
Once Upon a Time in Mexico,29000000 ,2003,102,6.2,0
Die Hard,28000000 ,1988,131,7.5,1
Role Models,28000000 ,2008,99,6.4,0
The Big Short,28000000 ,2015,130,7.3,1
Miracle,28000000 ,2004,135,7,0
Dawn of the Dead,28000000 ,2004,101,6.8,0
The Wedding Planner,35000000 ,2001,103,5.5,0
Space Pirate Captain Harlock,30000000 ,2013,115,6.5,0
The Royal Tenenbaums,21000000 ,2001,110,7.4,1
Identity,30000000 ,2003,90,7.1,1
Last Vegas,28000000 ,2013,105,6.4,0
For Your Eyes Only,28000000 ,1981,127,6.3,0
Serendipity,28000000 ,2001,90,6.6,0
Timecop,27000000 ,1994,99,5.5,0
Zoolander,28000000 ,2001,89,6.1,0
Safe Haven,28000000 ,2013,115,6.9,0
Hocus Pocus,28000000 ,1993,96,6.4,0
No Reservations,28000000 ,2007,104,6.1,0
Kick-Ass,28000000 ,2010,117,7.1,1
30 Minutes or Less,28000000 ,2011,83,5.6,0
Dracula 2000,28000000 ,2000,99,4.6,0
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",28000000 ,2014,81,6.1,0
Pride & Prejudice,28000000 ,2005,135,7.7,1
Blade Runner,28000000 ,1982,117,7.9,1
Rob Roy,28000000 ,1995,139,6.5,0
3 Days to Kill,28000000 ,2014,113,6,0
We Own the Night,21000000 ,2007,117,6.5,0
Winged Migration,35866397 ,2001,98,7,0
Just My Luck,28000000 ,2006,103,5.8,0
"Mystery, Alaska",28000000 ,1999,119,6,0
The Spy Next Door,28000000 ,2010,94,5.5,0
A Simple Wish,28000000 ,1997,86,5.5,0
Ghosts of Mars,28000000 ,2001,98,4.8,0
Our Brand Is Crisis,28000000 ,2015,108,5.8,0
Pride and Prejudice and Zombies,28000000 ,2016,108,5.5,0
Kundun,28000000 ,1997,134,6.8,0
How to Lose Friends & Alienate People,27000000 ,2008,110,6.2,0
Kick-Ass 2,28000000 ,2013,103,6.3,0
Alatriste,24000000 ,2006,145,5.6,0
Brick Mansions,28000000 ,2014,90,5.7,0
Octopussy,27500000 ,1983,131,6.2,0
Knocked Up,30000000 ,2007,129,6.2,0
My Sister's Keeper,30000000 ,2009,109,7.1,1
Welcome Home Roscoe Jenkins,35000000 ,2008,114,5.7,0
A Passage to India,8000000 ,1984,163,6.9,0
Notes on a Scandal,15000000 ,2006,92,6.9,0
Rendition,27500000 ,2007,120,6.2,0
Star Trek VI: The Undiscovered Country,27000000 ,1991,113,6.7,0
Divine Secrets of the Ya-Ya Sisterhood,27000000 ,2002,116,5.6,0
Kiss the Girls,27000000 ,1997,115,6.2,0
